Race,,Dist,500,Time,128.11
Split,Time,Secs,Vel,SR,
25,7.6,7.6,3.29,113.36,
50,13.32,5.71,4.37,114.94,
75,18.97,5.65,4.43,111.11,
100,24.62,5.65,4.42,109.09,
125,30.4,5.78,4.33,108.7,
150,36.38,5.98,4.18,107.14,
175,42.6,6.22,4.02,106.09,
200,48.92,6.31,3.96,103.81,
225,55.04,6.12,4.08,102.39,
250,61.41,6.37,3.92,101.35,
275,68.02,6.61,3.78,100.17,
300,74.6,6.59,3.79,99.34,
325,81.27,6.66,3.75,99.83,
350,88.01,6.75,3.71,100.33,
375,94.53,6.52,3.84,102.56,
400,101.14,6.6,3.79,101.52,
425,108.07,6.93,3.61,99.4,
450,114.79,6.72,3.72,100,
475,121.34,6.55,3.81,101.69,
500,128.11,6.77,3.7,100.92,
Av,,6.41,3.92,104.19,
