Race,,Dist,1000,Time,231.89
Split,Time,Secs,Vel,SR,
25,7.02,7.02,3.56,141.07,
50,11.61,4.59,5.45,146.7,
75,16.12,4.52,5.54,134.66,
100,20.81,4.69,5.33,124.71,
125,25.8,4.99,5.01,118.94,
150,31.01,5.21,4.8,116.38,
175,36.13,5.12,4.88,117.14,
200,41.32,5.19,4.82,114.16,
225,46.66,5.34,4.68,112.27,
250,52.04,5.38,4.65,109.98,
275,57.4,5.35,4.67,108.11,
300,63.14,5.74,4.35,107.53,
325,68.83,5.69,4.39,106.51,
350,74.51,5.68,4.4,102.66,
375,80.32,5.81,4.3,103.23,
400,86.13,5.81,4.3,103.45,
425,91.92,5.79,4.32,103.65,
450,97.95,6.03,4.14,102.21,
475,103.75,5.8,4.31,101.05,
500,109.59,5.85,4.28,102.47,
525,115.38,5.79,4.32,102.27,
550,121.25,5.87,4.26,102.08,
575,127.35,6.1,4.1,101.69,
600,133.35,6,4.17,101.35,
625,139.33,5.99,4.17,101.5,
650,145.31,5.98,4.18,100.93,
675,151.14,5.83,4.29,101.69,
700,157.04,5.9,4.24,102.47,
725,162.94,5.89,4.24,101.31,
750,169.05,6.11,4.09,101.12,
775,174.99,5.94,4.21,102.27,
800,180.83,5.85,4.27,106.57,
825,186.64,5.81,4.3,106.3,
850,192.44,5.8,4.31,105.88,
875,198.27,5.83,4.29,104.45,
900,204.79,6.51,3.84,99.34,
925,211.25,6.46,3.87,93.43,
950,217.7,6.45,3.88,91.06,
975,224.66,6.97,3.59,90.3,
1000,231.9,7.23,3.46,86.18,
Av,,5.8,4.36,106.98,
