Race,,Dist,500,Time,01:43.6
Split,Time,Secs,Vel,SR,
25,6.82,6.82,3.67,127.04,
50,11.39,4.57,5.47,137.4,
75,15.97,4.58,5.45,135.14,
100,20.58,4.61,5.42,134.33,
125,25.29,4.71,5.3,128.88,
150,30.1,4.81,5.2,126.17,
175,35.01,4.91,5.09,125.79,
200,40,4.99,5.01,124.42,
225,45.05,5.05,4.95,124.42,
250,50.15,5.1,4.9,123.97,
275,55.24,5.09,4.91,122.45,
300,01:00.4,5.14,4.86,120.72,
325,01:05.6,5.21,4.8,120.54,
350,01:10.9,5.3,4.72,118.58,
375,01:16.2,5.26,4.75,119.73,
400,01:21.5,5.36,4.66,118.11,
425,01:26.9,5.42,4.61,116.63,
450,01:32.4,5.48,4.57,115.61,
475,01:38.0,5.54,4.52,112.97,
500,01:43.6,5.65,4.43,112.57,
Av,,5.18,4.86,123.27,
