Race,,Dist,500,Time,01:51.7
Split,Time,Secs,Vel,SR,
25,6.92,6.92,3.61,130.84,
50,11.68,4.77,5.25,146.34,
75,16.47,4.78,5.23,140.72,
100,21.33,4.87,5.14,136.67,
125,26.37,5.04,4.96,129.87,
150,31.53,5.15,4.85,126.17,
175,36.8,5.27,4.74,124.74,
200,42.15,5.36,4.67,121.95,
225,47.7,5.55,4.51,120.72,
250,53.33,5.63,4.44,118.28,
275,58.99,5.65,4.42,119.05,
300,01:04.7,5.67,4.41,119.05,
325,01:10.4,5.78,4.32,118.11,
350,01:16.2,5.81,4.3,120.22,
375,01:22.1,5.85,4.27,119.78,
400,01:28.0,5.88,4.25,120.48,
425,01:33.8,5.84,4.28,118.71,
450,01:39.7,5.84,4.28,118.28,
475,01:45.6,5.97,4.19,118.81,
500,01:51.7,6.11,4.09,116.61,
Av,,5.59,4.51,124.27,
