Race,,Dist,500,Time,01:32.4
Split,Time,Secs,Vel,SR,
25,6.47,6.47,3.86,126.42,
50,10.59,4.12,6.06,148.76,
75,14.59,4,6.26,146.34,
100,18.62,4.03,6.2,143.62,
125,22.74,4.13,6.06,138.73,
150,26.97,4.23,5.91,135.34,
175,31.23,4.26,5.87,134.45,
200,35.55,4.33,5.78,133.33,
225,40.01,4.46,5.61,132.23,
250,44.56,4.55,5.5,129.5,
275,49.18,4.62,5.41,127.36,
300,53.86,4.68,5.34,128.27,
325,58.57,4.72,5.3,127.96,
350,01:03.3,4.7,5.32,127.06,
375,01:08.0,4.71,5.3,127.96,
400,01:12.8,4.78,5.23,128.57,
425,01:17.6,4.84,5.17,126.05,
450,01:22.5,4.86,5.14,125.87,
475,01:27.3,4.88,5.12,124.42,
500,01:32.4,5.01,5,122.73,
Av,,4.62,5.47,131.75,
