Race,,Dist,500,Time,01:50.4
Split,Time,Secs,Vel,SR,
25,6.65,6.65,3.76,128.5,
50,11.42,4.78,5.23,142.24,
75,16.16,4.74,5.28,137.76,
100,20.99,4.83,5.17,134.53,
125,25.93,4.93,5.07,130.15,
150,31.03,5.1,4.9,126.05,
175,36.2,5.17,4.84,120.27,
200,41.54,5.35,4.68,119.76,
225,46.97,5.42,4.61,116.38,
250,52.49,5.52,4.53,116.05,
275,57.92,5.44,4.6,115.14,
300,01:03.5,5.57,4.49,113.85,
325,01:09.1,5.64,4.43,112.73,
350,01:14.8,5.67,4.41,114.29,
375,01:20.5,5.71,4.38,113.85,
400,01:26.3,5.84,4.28,112.99,
425,01:32.3,5.91,4.23,112.15,
450,01:38.2,5.94,4.21,110.7,
475,01:44.2,6.04,4.14,109.29,
500,01:50.4,6.2,4.04,106.38,
Av,,5.52,4.56,119.65,
