Race,,Dist,500,Time,01:49.0
Split,Time,Secs,Vel,SR,
25,7,7,3.57,127.66,
50,11.71,4.71,5.31,144.93,
75,16.48,4.77,5.24,141.18,
100,21.26,4.78,5.23,134.83,
125,26.19,4.93,5.07,128.48,
150,31.26,5.07,4.93,127.06,
175,36.38,5.12,4.88,125.26,
200,41.6,5.22,4.79,123.71,
225,46.92,5.32,4.7,122.7,
250,52.26,5.34,4.68,121.9,
275,57.65,5.39,4.64,120.97,
300,01:03.2,5.51,4.54,121.46,
325,01:08.7,5.52,4.53,122.68,
350,01:14.3,5.58,4.48,120.24,
375,01:19.9,5.68,4.4,120.48,
400,01:25.7,5.73,4.36,121.32,
425,01:31.4,5.69,4.4,120,
450,01:37.2,5.81,4.3,117.44,
475,01:43.1,5.89,4.24,118.34,
500,01:49.0,5.96,4.2,117.02,
Av,,5.45,4.62,124.88,
