Race,,Dist,500m,Time,01:48.1
Split,Time,Secs,Vel,SR,
25,6.58,6.58,3.8,127,
50,11.29,4.72,5.3,134,
75,16.09,4.80,5.21,124,
100,21.02,4.93,5.07,122,
125,26.09,5.06,4.94,117,
150,31.22,5.13,4.87,114,
175,36.44,5.22,4.79,112,
200,41.72,5.28,4.73,112,
225,47.00,5.27,4.74,112,
250,52.39,5.39,4.64,108,
275,57.77,5.38,4.64,110,
300,01:03.1,5.34,4.68,112,
325,01:08.6,5.49,4.55,109,
350,01:14.1,5.53,4.52,107,
375,01:19.6,5.49,4.56,106,
400,01:25.2,5.60,4.47,105,
425,01:30.9,5.63,4.44,106,
450,01:36.5,5.65,4.43,105,
475,01:42.3,5.76,4.34,102,
500,01:48.1,5.82,4.3,102,
Av,,5.40,4.65,112,
