Race,,Dist,500m,Time,01:49.6
Split,Time,Secs,Vel,SR,
25,6.80,6.80,3.68,124,
50,11.57,4.77,5.24,130,
75,16.35,4.77,5.24,126,
100,21.21,4.86,5.14,120,
125,26.23,5.02,4.98,118,
150,31.30,5.07,4.93,115,
175,36.47,5.16,4.84,114,
200,41.65,5.18,4.82,112,
225,46.90,5.25,4.77,113,
250,52.29,5.39,4.64,109,
275,57.73,5.44,4.6,108,
300,01:03.3,5.53,4.52,106,
325,01:08.9,5.68,4.4,105,
350,01:14.7,5.73,4.36,103,
375,01:20.4,5.73,4.36,102,
400,01:26.1,5.70,4.39,102,
425,01:31.8,5.74,4.36,100,
450,01:37.6,5.79,4.32,101,
475,01:43.5,5.89,4.24,100,
500,01:49.6,6.06,4.13,96,
Av,,5.48,4.6,110,
