Race,,Dist,1000m,Time,03:48.7
Split,Time,Secs,Vel,SR,
25,6.75,6.75,3.71,128.83,
50,11.51,4.77,5.25,127.96,
75,16.38,4.87,5.14,123.57,
100,21.37,5,5,118.16,
125,26.48,5.11,4.89,112.5,
150,31.66,5.17,4.84,112.15,
175,36.88,5.23,4.78,111.57,
200,42.18,5.3,4.72,107.87,
225,47.54,5.36,4.66,106.51,
250,53.06,5.51,4.54,104.65,
275,58.66,5.6,4.46,102.56,
300,01:04.4,5.71,4.38,102.27,
325,01:10.1,5.78,4.33,101.69,
350,01:16.1,5.92,4.22,97.36,
375,01:22.2,6.09,4.11,95.91,
400,01:28.3,6.12,4.09,96.95,
425,01:34.3,6.01,4.16,96.43,
450,01:40.2,5.94,4.21,96.77,
475,01:46.2,5.96,4.2,97.3,
500,01:52.1,5.88,4.25,96.97,
525,01:58.0,5.91,4.23,98.54,
550,02:03.9,5.9,4.24,95.91,
575,02:09.8,5.93,4.22,96,
600,02:15.7,5.94,4.21,97.83,
625,02:21.6,5.86,4.27,97.96,
650,02:27.5,5.89,4.24,96.6,
675,02:33.5,5.98,4.18,97.65,
700,02:39.4,5.9,4.24,97.17,
725,02:45.2,5.88,4.25,98.36,
750,02:51.2,5.92,4.22,97.76,
775,02:57.0,5.84,4.28,99.63,
800,03:02.7,5.73,4.36,99.63,
825,03:08.5,5.79,4.32,101.48,
850,03:14.4,5.84,4.28,102.08,
875,03:20.1,5.69,4.39,102.47,
900,03:25.7,5.68,4.4,102.66,
925,03:31.3,5.57,4.49,102.35,
950,03:37.0,5.69,4.39,103.05,
975,03:42.9,5.88,4.25,102.08,
1000,03:48.7,5.81,4.31,102.47,
Av,,5.72,4.39,103.24,
