Race,,Dist,500m,Time,01:47.0
Split,Time,Secs,Vel,SR,
25,6.66,6.66,3.75,132.08,
50,11.27,4.61,5.42,140.19,
75,16.02,4.74,5.27,133,
100,20.72,4.7,5.32,127.96,
125,25.64,4.92,5.08,123.85,
150,30.61,4.97,5.03,120.27,
175,35.68,5.07,4.93,118.42,
200,40.96,5.28,4.73,113.92,
225,46.18,5.22,4.79,114.16,
250,51.46,5.27,4.74,113.45,
275,56.75,5.3,4.72,114.65,
300,01:02.2,5.49,4.56,114.5,
325,01:07.7,5.45,4.59,111.34,
350,01:13.1,5.4,4.63,109.98,
375,01:18.6,5.55,4.51,111.57,
400,01:24.2,5.53,4.52,111.34,
425,01:29.8,5.63,4.44,109.29,
450,01:35.5,5.73,4.36,108.22,
475,01:41.3,5.72,4.37,106.09,
500,01:47.0,5.78,4.33,105.88,
Av,,5.35,4.7,117.01,
