Race,,Dist,500m,Time,01:57.9
Split,Time,Secs,Vel,SR,
25,7.41,7.41,3.37,124,
50,12.18,4.77,5.24,136,
75,16.97,4.79,5.22,133,
100,21.96,4.99,5.01,126,
125,27.21,5.25,4.76,118,
150,32.66,5.45,4.58,109,
175,38.42,5.76,4.34,104,
200,44.44,6.02,4.15,100,
225,50.53,6.09,4.1,96,
250,56.82,6.29,3.98,95,
275,01:03.0,6.20,4.03,95,
300,01:09.1,6.05,4.14,96,
325,01:15.3,6.22,4.02,95,
350,01:21.5,6.16,4.06,95,
375,01:27.3,5.87,4.26,96,
400,01:33.4,6.09,4.11,97,
425,01:39.9,6.45,3.87,98,
450,01:45.7,5.89,4.25,99,
475,01:51.7,5.93,4.21,98,
500,01:57.9,6.26,3.99,95,
Av,,5.90,4.29,105,
