Race,,Dist,500m,Time,01:52.9
Split,Time,Secs,Vel,SR,
25,7.31,7.31,3.42,124,
50,12.35,5.04,4.96,130,
75,17.47,5.12,4.88,130,
100,22.78,5.31,4.71,124,
125,28.12,5.34,4.68,123,
150,33.54,5.42,4.61,119,
175,39.14,5.60,4.47,117,
200,44.66,5.53,4.52,118,
225,50.32,5.66,4.42,116,
250,56.14,5.81,4.3,115,
275,01:01.8,5.67,4.41,115,
300,01:07.4,5.56,4.5,115,
325,01:13.0,5.64,4.43,115,
350,01:18.7,5.71,4.38,114,
375,01:24.3,5.60,4.46,114,
400,01:30.0,5.69,4.39,115,
425,01:35.6,5.62,4.45,116,
450,01:41.4,5.73,4.36,117,
475,01:47.1,5.75,4.35,115,
500,01:52.9,5.75,4.34,115,
Av,,5.64,4.45,118,
