Race,,Dist,1000,Time,04:00.5
Split,Time,Secs,Vel,SR,
25,6.89,6.89,3.63,126.13,
50,11.8,4.91,5.09,127.36,
75,16.9,5.1,4.9,116.13,
100,22.05,5.15,4.86,112.03,
125,27.41,5.36,4.67,112.5,
150,32.83,5.42,4.61,110.66,
175,38.34,5.51,4.53,110.66,
200,43.92,5.58,4.48,106.3,
225,49.57,5.65,4.43,103.65,
250,55.28,5.71,4.38,101.05,
275,01:01.1,5.85,4.27,101.12,
300,01:07.0,5.88,4.25,103.45,
325,01:12.8,5.76,4.34,97.17,
350,01:18.7,5.92,4.22,94.57,
375,01:24.7,6.01,4.16,97.83,
400,01:30.7,5.99,4.17,97.36,
425,01:36.7,5.99,4.17,98.9,
450,01:42.8,6.09,4.11,97.65,
475,01:48.8,6.01,4.16,96.95,
500,01:54.9,6.09,4.1,98.9,
525,02:01.0,6.15,4.07,96.26,
550,02:07.2,6.17,4.05,96.95,
575,02:13.4,6.2,4.03,95.24,
600,02:19.7,6.32,3.96,96.26,
625,02:26.0,6.28,3.98,97.4,
650,02:32.2,6.22,4.02,95.74,
675,02:38.3,6.11,4.09,95.24,
700,02:44.6,6.28,3.98,96.43,
725,02:51.0,6.4,3.9,90.6,
750,02:57.4,6.37,3.93,91.84,
775,03:03.5,6.18,4.04,90.57,
800,03:09.8,6.28,3.98,90.76,
825,03:16.0,6.19,4.04,91.25,
850,03:22.3,6.27,3.99,91.22,
875,03:28.5,6.23,4.01,93.02,
900,03:34.8,6.29,3.97,91.99,
925,03:41.2,6.45,3.88,92.15,
950,03:47.6,6.36,3.93,98.18,
975,03:54.0,6.39,3.91,93.59,
1000,04:00.5,6.55,3.82,91.22,
Av,,6.01,4.18,99.66,
