Race,,Dist,1000m,Time,03:53.4
Split,Time,Secs,Vel,SR,
25,6.7,6.7,3.73,130.23,
50,11.43,4.73,5.29,142.52,
75,16.27,4.84,5.17,129.87,
100,21.12,4.86,5.15,109.34,
125,26.4,5.28,4.74,112.03,
150,31.79,5.39,4.64,111.89,
175,37.23,5.44,4.6,110.43,
200,42.75,5.52,4.53,108,
225,48.05,5.3,4.72,111.11,
250,53.68,5.63,4.44,101.12,
275,59.27,5.6,4.47,103.23,
300,01:05.0,5.72,4.37,101.31,
325,01:10.8,5.77,4.33,101.12,
350,01:16.3,5.53,4.52,91.5,
375,01:22.1,5.83,4.29,99.63,
400,01:28.0,5.83,4.29,100,
425,01:33.8,5.83,4.29,100,
450,01:39.8,6.02,4.15,101.01,
475,01:45.5,5.71,4.38,94.86,
500,01:51.5,5.96,4.2,100.75,
525,01:57.5,6.04,4.14,98.36,
550,02:03.5,5.99,4.17,99.38,
575,02:09.6,6.07,4.12,100,
600,02:15.6,6.04,4.14,97.76,
625,02:21.7,6.04,4.14,98.72,
650,02:27.8,6.11,4.09,100.84,
675,02:33.8,6.01,4.16,99.17,
700,02:39.8,5.99,4.17,98.18,
725,02:45.8,6.06,4.13,101.35,
750,02:51.9,6.08,4.11,101.5,
775,02:58.0,6.07,4.12,97.83,
800,03:04.1,6.09,4.1,99.82,
825,03:10.2,6.11,4.09,100.75,
850,03:16.2,6.03,4.15,100.19,
875,03:22.3,6.09,4.11,101.12,
900,03:28.4,6.06,4.13,100.5,
925,03:34.5,6.12,4.09,100.19,
950,03:40.7,6.18,4.04,98.18,
975,03:46.9,6.29,3.98,98.18,
1000,03:53.3,6.41,3.9,98.36,
Av,,5.83,4.31,103.76,
