Race,,Dist,1000,Time,239.43
Split,Time,Secs,Vel,SR,
25,6.86,6.86,3.65,132.28,
50,11.76,4.91,5.09,135.44,
75,16.52,4.75,5.26,121.9,
100,21.69,5.17,4.83,121.95,
125,26.86,5.18,4.83,120.54,
150,32.13,5.26,4.75,119.21,
175,37.62,5.49,4.55,116.5,
200,43.15,5.52,4.53,112.27,
225,48.63,5.48,4.56,110.7,
250,54.46,5.83,4.29,110.88,
275,60.19,5.74,4.36,108.7,
300,66.03,5.84,4.28,106.3,
325,71.96,5.92,4.22,104.25,
350,77.87,5.91,4.23,103.63,
375,83.92,6.05,4.13,102.47,
400,90.01,6.09,4.11,102.47,
425,96.11,6.1,4.1,102.56,
450,102.32,6.21,4.02,100.19,
475,108.4,6.08,4.11,99.63,
500,114.53,6.13,4.08,101.01,
525,120.8,6.27,3.99,100.75,
550,127.03,6.23,4.01,100.5,
575,133.42,6.38,3.92,98.36,
600,139.79,6.37,3.92,99.34,
625,146.2,6.41,3.9,100.56,
650,152.53,6.34,3.95,99.01,
675,158.63,6.1,4.1,100,
700,164.64,6.01,4.16,98.9,
725,170.67,6.03,4.14,98.54,
750,176.71,6.04,4.14,100.56,
775,182.72,6.01,4.16,99.26,
800,188.89,6.17,4.05,100.93,
825,195.1,6.22,4.02,102.39,
850,201.53,6.43,3.89,100.84,
875,207.8,6.26,3.99,99.63,
900,213.86,6.06,4.13,99.63,
925,220.14,6.28,3.98,100.84,
950,226.6,6.47,3.87,98.85,
975,232.99,6.39,3.91,100.19,
1000,239.43,6.43,3.89,86.4,
Av,,5.99,4.2,105.46,
