Race,,Dist,1000,Time,232.99
Split,Time,Secs,Vel,SR,
25,6.85,6.85,3.65,136.16,
50,11.65,4.8,5.21,141.84,
75,16.48,4.84,5.17,136.36,
100,21.45,4.96,5.04,129.31,
125,26.66,5.22,4.79,124.74,
150,31.99,5.33,4.69,123.29,
175,37.48,5.49,4.56,116.73,
200,43.01,5.53,4.52,113.42,
225,48.71,5.7,4.39,111.11,
250,54.46,5.75,4.35,109.49,
275,60.14,5.68,4.4,109.31,
300,65.97,5.83,4.29,106.93,
325,71.79,5.82,4.3,109.89,
350,77.68,5.89,4.24,107.33,
375,83.62,5.94,4.21,105.88,
400,89.59,5.97,4.19,105.26,
425,95.59,6,4.17,106.3,
450,101.61,6.02,4.15,105.26,
475,107.73,6.12,4.08,104.25,
500,113.82,6.09,4.1,103.81,
525,119.98,6.15,4.06,103.27,
550,126.14,6.17,4.05,102.47,
575,131.79,5.65,4.43,106.09,
600,137.89,6.1,4.1,96.6,
625,143.97,6.07,4.12,103.63,
650,150.11,6.15,4.07,102.86,
675,156.13,6.02,4.15,102.66,
700,161.63,5.5,4.55,101.69,
725,167.63,6,4.17,104.45,
750,173.64,6.01,4.16,103.81,
775,179.6,5.96,4.19,102.27,
800,185.63,6.03,4.14,103.65,
825,191.37,5.74,4.36,98.9,
850,197.36,6,4.17,107.57,
875,203.26,5.9,4.24,107.91,
900,209.15,5.89,4.25,108.3,
925,215.09,5.94,4.21,109.09,
950,220.93,5.84,4.28,104.53,
975,226.93,6,4.17,111.52,
1000,232.97,6.05,4.14,108.35,
Av,,5.82,4.31,109.91,
