Race,,Dist,1000m,Time,03:27.6
Split,Time,Secs,Vel,SR,
25,6.73,6.73,3.71,118.54,
50,11.24,4.51,5.54,129.73,
75,15.72,4.48,5.59,126.76,
100,20.41,4.69,5.33,123.85,
125,25.13,4.72,5.29,120.6,
150,29.54,4.41,5.67,112.6,
175,34.39,4.85,5.16,119.47,
200,39.19,4.8,5.21,117.14,
225,43.99,4.8,5.21,117.07,
250,48.77,4.78,5.23,114.56,
275,53.7,4.93,5.07,112.94,
300,58.35,4.65,5.38,105.26,
325,01:03.4,5.02,4.98,111.11,
350,01:08.4,5.06,4.94,110.85,
375,01:13.6,5.15,4.85,109.98,
400,01:18.7,5.12,4.88,109.09,
425,01:23.9,5.17,4.83,107.38,
450,01:28.8,4.94,5.06,98.59,
475,01:34.0,5.16,4.84,105.73,
500,01:39.1,5.06,4.94,105.03,
525,01:44.4,5.37,4.66,104.05,
550,01:49.9,5.43,4.6,102.56,
575,01:55.1,5.3,4.72,108.35,
600,02:00.6,5.47,4.57,102.47,
625,02:06.1,5.44,4.6,103,
650,02:11.4,5.33,4.69,101.48,
675,02:16.7,5.29,4.73,102.13,
700,02:22.1,5.39,4.64,103.67,
725,02:27.1,5.05,4.95,98.97,
750,02:32.5,5.41,4.63,103,
775,02:38.2,5.66,4.41,101.89,
800,02:43.8,5.59,4.47,103,
825,02:49.2,5.45,4.59,103.45,
850,02:54.3,5.03,4.97,96.55,
875,02:59.8,5.54,4.51,101.27,
900,03:05.3,5.52,4.53,98.56,
925,03:10.8,5.54,4.51,97.36,
950,03:16.5,5.66,4.42,96,
975,03:22.1,5.59,4.47,93.57,
1000,03:27.6,5.53,4.53,96.58,
Av,,5.19,4.85,107.36,
