Race,,Dist,500m,Time,01:35.2
Split,Time,Secs,Vel,SR,
25,6.34,6.34,3.95,134.08,
50,10.46,4.12,6.07,145.95,
75,14.59,4.13,6.05,142.86,
100,18.76,4.17,5.99,136.36,
125,23.04,4.28,5.84,131.07,
150,27.49,4.44,5.62,125.65,
175,31.95,4.47,5.6,123.71,
200,36.47,4.52,5.53,121.9,
225,41.1,4.62,5.41,121.21,
250,45.79,4.69,5.33,118.52,
275,50.56,4.77,5.24,116.79,
300,55.41,4.85,5.16,116.38,
325,01:00.2,4.78,5.23,116.79,
350,01:04.9,4.74,5.28,118.94,
375,01:09.7,4.74,5.28,120.6,
400,01:14.6,4.89,5.11,119.47,
425,01:19.6,4.99,5.01,118.16,
450,01:24.7,5.13,4.87,117.9,
475,01:29.9,5.2,4.81,116.38,
500,01:35.2,5.29,4.73,115.94,
Av,,4.76,5.3,123.93,
