Race,,Dist,1000,Time,262.66
Split,Time,Secs,Vel,SR,
25,6.89,6.89,3.63,136.57,
50,11.75,4.86,5.15,139.21,
75,16.65,4.91,5.09,134.53,
100,21.72,5.07,4.93,127.93,
125,27.05,5.33,4.69,120.54,
150,32.52,5.47,4.57,116.73,
175,38.2,5.68,4.4,113.85,
200,44.03,5.83,4.29,109.89,
225,50.03,5.99,4.17,108,
250,56.25,6.23,4.02,105.63,
275,62.73,6.48,3.86,102.74,
300,69.19,6.46,3.87,99.34,
325,75.78,6.59,3.8,96.62,
350,82.53,6.76,3.7,94.9,
375,89.49,6.96,3.59,89.82,
400,96.57,7.08,3.53,86.82,
425,104.04,7.47,3.35,84.87,
450,111.36,7.32,3.42,84.64,
475,118.48,7.12,3.51,86.54,
500,125.66,7.18,3.48,85.17,
525,132.86,7.2,3.47,85.71,
550,140.19,7.34,3.41,84.11,
575,146.8,6.61,3.78,85.11,
600,153.23,6.43,3.89,84.06,
625,160.09,6.86,3.65,84.91,
650,167.29,7.2,3.47,85.71,
675,173.95,6.66,3.75,85.58,
700,180.44,6.49,3.85,85.71,
725,187,6.56,3.81,83.62,
750,193.93,6.94,3.6,83.46,
775,200.76,6.83,3.66,84.64,
800,207.75,6.98,3.58,83.92,
825,214.54,6.8,3.68,81.94,
850,221.66,7.11,3.51,82.19,
875,228.49,6.83,3.66,83.08,
900,235.38,6.89,3.63,83.72,
925,242.14,6.76,3.7,82.19,
950,248.96,6.82,3.67,78.3,
975,255.81,6.85,3.65,81.91,
1000,262.66,6.85,3.65,81.77,
Av,,6.57,3.85,94.9,
