Race,,Dist,1000,Time,237.05
Split,Time,Secs,Vel,SR,
25,7.08,7.08,3.53,120.17,
50,12.27,5.18,4.82,123.29,
75,17.43,5.17,4.84,120.97,
100,22.68,5.24,4.77,117.65,
125,28.17,5.5,4.55,111.57,
150,33.74,5.56,4.5,109.76,
175,39.47,5.74,4.36,106.09,
200,45.21,5.73,4.36,105.68,
225,51.08,5.87,4.26,102.56,
250,56.84,5.76,4.34,102.35,
275,62.89,6.05,4.13,100.84,
300,69.02,6.13,4.08,99.82,
325,75.06,6.04,4.14,100.93,
350,81.13,6.07,4.12,98.36,
375,87.3,6.17,4.05,97.65,
400,93.71,6.41,3.9,97.12,
425,99.87,6.16,4.06,99.17,
450,105.93,6.06,4.12,100.75,
475,112.11,6.18,4.05,97.3,
500,118.35,6.24,4.01,96.95,
525,124.85,6.5,3.85,97.3,
550,130.96,6.11,4.09,103.81,
575,136.56,5.61,4.46,108.43,
600,142.44,5.87,4.26,103.85,
625,148.35,5.91,4.23,97.12,
650,154.44,6.09,4.1,96.95,
675,160.42,5.98,4.18,98.77,
700,166.35,5.94,4.21,97.83,
725,172.26,5.9,4.24,101.5,
750,178.05,5.79,4.32,100.75,
775,183.91,5.87,4.26,100,
800,189.75,5.84,4.28,100.63,
825,195.6,5.85,4.28,101.89,
850,201.4,5.8,4.31,100.75,
875,207.21,5.81,4.3,111.11,
900,213.08,5.87,4.26,99.79,
925,218.95,5.87,4.26,99.26,
950,224.76,5.81,4.3,99.63,
975,230.77,6.01,4.16,100,
1000,237.05,6.28,3.98,97.17,
Av,,5.93,4.23,103.14,
