Race,,Dist,500,Time,118.84
Split,Time,Secs,Vel,SR,
25,6.69,6.69,3.74,132.7,
50,11.29,4.6,5.44,143.54,
75,16.06,4.77,5.24,139.53,
100,20.93,4.87,5.13,130.15,
125,25.9,4.97,5.03,125.87,
150,31.08,5.18,4.83,125,
175,36.39,5.31,4.71,119.76,
200,41.88,5.49,4.55,116.88,
225,47.65,5.78,4.33,112.99,
250,53.66,6,4.17,106.57,
275,59.81,6.16,4.06,101.5,
300,66.12,6.31,3.96,99.83,
325,72.47,6.35,3.94,107.72,
350,78.99,6.52,3.83,92.47,
375,85.52,6.53,3.83,91.84,
400,92.05,6.53,3.83,92.31,
425,98.6,6.55,3.82,89.4,
450,105.16,6.56,3.81,91.06,
475,111.97,6.81,3.67,89.7,
500,118.83,6.86,3.65,88.38,
Av,,5.94,4.28,109.86,
