Race,,Dist,500m,Time,01:56.0
Split,Time,Secs,Vel,SR,
25,6.94,6.94,3.6,129,
50,11.59,4.66,5.37,143,
75,16.34,4.75,5.26,136,
100,21.34,4.99,5.01,127,
125,26.64,5.31,4.71,121,
150,32.07,5.43,4.61,116,
175,37.48,5.41,4.62,115,
200,43.02,5.54,4.51,112,
225,48.84,5.82,4.29,110,
250,54.72,5.88,4.25,109,
275,01:00.7,6.02,4.15,108,
300,01:06.9,6.19,4.04,107,
325,01:13.5,6.53,3.83,105,
350,01:19.8,6.30,3.97,106,
375,01:26.1,6.28,3.98,109,
400,01:32.0,5.99,4.18,109,
425,01:38.1,6.09,4.1,109,
450,01:44.1,6.00,4.17,111,
475,01:50.0,5.88,4.25,110,
500,01:56.0,5.97,4.19,109,
Av,,5.80,4.35,115,
,,,,,
