Race,,Dist,500,Time,01:34.4
Split,Time,Secs,Vel,SR,
25,6.74,6.74,3.71,115.02,
50,11.05,4.3,5.81,140.26,
75,15.26,4.21,5.93,137.06,
100,19.55,4.29,5.83,134,
125,23.92,4.36,5.73,126.65,
150,28.33,4.41,5.67,125,
175,32.81,4.49,5.57,122.14,
200,37.42,4.61,5.42,123.01,
225,42.04,4.62,5.42,120.3,
250,46.71,4.67,5.36,120,
275,51.38,4.68,5.35,119.73,
300,56.11,4.73,5.29,119.7,
325,01:00.8,4.74,5.27,120,
350,01:05.6,4.79,5.22,120,
375,01:10.4,4.72,5.3,120.81,
400,01:15.1,4.73,5.29,120.3,
425,01:19.9,4.77,5.25,120.27,
450,01:24.6,4.78,5.23,120.91,
475,01:29.5,4.87,5.14,119.21,
500,01:34.4,4.94,5.07,119.21,
Av,,4.72,5.34,123.18,
