Race,,Dist,500,Time,02:11.1
Split,Time,Secs,Vel,SR,
25,7.08,7.08,3.53,117.82,
50,12.64,5.56,4.5,120,
75,18.26,5.62,4.45,107.14,
100,24.43,6.17,4.05,108.37,
125,30.9,6.47,3.86,101.01,
150,37.41,6.51,3.84,97.65,
175,43.66,6.25,4,97.47,
200,50.13,6.46,3.87,96.31,
225,56.57,6.44,3.88,97.3,
250,01:03.0,6.47,3.86,96.93,
275,01:09.8,6.74,3.71,95.69,
300,01:16.5,6.77,3.69,96.31,
325,01:23.2,6.69,3.74,95.58,
350,01:30.2,6.94,3.6,94.34,
375,01:37.0,6.81,3.67,92.74,
400,01:43.8,6.79,3.68,94.24,
425,01:50.6,6.82,3.67,92.74,
450,01:57.4,6.82,3.67,90.91,
475,02:04.2,6.81,3.67,92.88,
500,02:11.1,6.93,3.61,89.7,
Av,,6.56,3.83,98.76,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
