Race,,Dist,500,Time,02:07.5
Split,Time,Secs,Vel,SR,
25,7.6,7.6,3.29,111.55,
50,13.24,5.64,4.43,116.5,
75,19.12,5.88,4.25,110.2,
100,25.09,5.98,4.18,105.08,
125,31.1,6,4.17,101.12,
150,37.19,6.09,4.1,101.12,
175,43.37,6.18,4.05,100.19,
200,49.72,6.35,3.93,97.4,
225,55.98,6.25,4,94.74,
250,01:02.5,6.5,3.84,93.43,
275,01:09.0,6.57,3.8,93.26,
300,01:15.6,6.54,3.82,92.78,
325,01:22.2,6.63,3.77,93.02,
350,01:28.8,6.58,3.8,92.62,
375,01:35.3,6.45,3.88,95.24,
400,01:41.7,6.5,3.85,94.41,
425,01:48.2,6.49,3.85,98.36,
450,01:54.6,6.36,3.93,96.15,
475,02:01.0,6.4,3.9,95.74,
500,02:07.5,6.51,3.84,94.74,
Av,,6.37,3.94,98.88,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
