Race,,Dist,500m,Time,01:57.3
Split,Time,Secs,Vel,SR,
25,6.67,6.67,3.75,120,
50,11.51,4.84,5.16,128,
75,16.61,5.10,4.9,116,
100,21.96,5.35,4.67,110,
125,27.40,5.44,4.6,108,
150,32.91,5.51,4.54,106,
175,38.45,5.55,4.51,103,
200,44.14,5.69,4.4,100,
225,49.94,5.80,4.31,100,
250,55.75,5.81,4.3,98,
275,01:01.7,5.94,4.21,98,
300,01:07.7,5.97,4.19,99,
325,01:13.7,6.00,4.17,97,
350,01:19.9,6.20,4.04,96,
375,01:26.2,6.34,3.94,96,
400,01:32.3,6.10,4.1,100,
425,01:38.4,6.07,4.12,98,
450,01:44.6,6.24,4.01,96,
475,01:51.0,6.36,3.93,95,
500,01:57.3,6.30,3.97,97,
Av,,5.86,4.29,103,
,,,,,
