Race,,Dist,500,Time,01:32.8
Split,Time,Secs,Vel,SR,
25,6.68,6.68,3.74,125.6,
50,10.78,4.1,6.1,144.77,
75,14.9,4.12,6.07,144,
100,18.94,4.05,6.18,140.76,
125,23.08,4.14,6.04,136.36,
150,27.27,4.18,5.98,134.45,
175,31.55,4.29,5.83,131.51,
200,35.93,4.38,5.71,130.75,
225,40.38,4.45,5.62,129.5,
250,44.86,4.48,5.58,128.34,
275,49.45,4.59,5.45,126.46,
300,54.14,4.69,5.33,125.29,
325,58.87,4.74,5.28,123.08,
350,01:03.6,4.74,5.28,123.29,
375,01:08.4,4.76,5.26,122.45,
400,01:13.2,4.79,5.22,121.83,
425,01:18.0,4.86,5.15,120,
450,01:22.9,4.9,5.1,119.73,
475,01:27.9,4.95,5.05,120,
500,01:32.9,4.99,5.01,119.73,
Av,,4.64,5.45,128.4,
