Race,,Dist,500,Time,02:10.1
Split,Time,Secs,Vel,SR,
25,7.51,7.51,3.33,118.64,
50,13.25,5.74,4.35,122.22,
75,19.02,5.76,4.34,118.11,
100,24.84,5.82,4.3,117.02,
125,31.02,6.19,4.04,112.82,
150,37.27,6.25,4,108.7,
175,43.59,6.32,3.95,107.53,
200,50.2,6.61,3.78,105.77,
225,56.51,6.31,3.96,106.95,
250,01:03.3,6.77,3.69,102.21,
275,01:09.9,6.6,3.79,101.54,
300,01:16.6,6.75,3.7,100.17,
325,01:23.1,6.41,3.9,103.99,
350,01:29.7,6.68,3.74,98.85,
375,01:36.3,6.59,3.8,97.72,
400,01:43.0,6.71,3.72,98.2,
425,01:49.8,6.8,3.68,98.36,
450,01:56.4,6.54,3.82,93.75,
475,02:03.2,6.84,3.65,99.7,
500,02:10.1,6.87,3.64,99.83,
Av,,6.5,3.86,105.6,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
