Race,,Dist,500m,Time,01:56.4
Split,Time,Secs,Vel,SR,
25,7.18,7.18,3.48,139,
50,12.11,4.93,5.07,143,
75,17.09,4.98,5.02,135,
100,22.30,5.20,4.81,127,
125,27.61,5.31,4.71,121,
150,33.06,5.45,4.59,118,
175,38.66,5.60,4.46,116,
200,44.39,5.73,4.36,113,
225,50.27,5.88,4.25,112,
250,56.15,5.88,4.25,110,
275,01:02.0,5.89,4.24,111,
300,01:08.0,5.99,4.18,110,
325,01:14.1,6.06,4.12,109,
350,01:20.2,6.10,4.1,109,
375,01:26.3,6.08,4.11,109,
400,01:32.5,6.18,4.04,108,
425,01:38.7,6.21,4.02,108,
450,01:44.6,5.93,4.21,122,
475,01:50.5,5.90,4.24,121,
500,01:56.4,5.93,4.22,120,
Av,,5.82,4.32,118,
,,,,,
