Race,,Dist,500m,Time,01:56.0
Split,Time,Secs,Vel,SR,
25,7.22,7.22,3.46,137,
50,12.13,4.91,5.09,148,
75,17.07,4.94,5.06,141,
100,22.15,5.08,4.92,134,
125,27.44,5.28,4.73,129,
150,32.81,5.38,4.65,124,
175,38.37,5.56,4.5,123,
200,44.00,5.63,4.44,120,
225,49.68,5.67,4.41,118,
250,55.64,5.96,4.2,113,
275,01:01.6,5.95,4.2,114,
300,01:07.5,5.92,4.22,117,
325,01:13.4,5.93,4.21,117,
350,01:19.3,5.85,4.28,120,
375,01:25.3,5.98,4.18,118,
400,01:31.4,6.09,4.1,116,
425,01:37.5,6.14,4.07,116,
450,01:43.7,6.17,4.05,116,
475,01:49.9,6.20,4.03,115,
500,01:56.0,6.16,4.06,115,
Av,,5.80,4.34,123,
,,,,,
