Race,,Dist,500,Time,116.8
Split,Time,Secs,Vel,SR,
25,7.13,7.13,3.51,127.85,
50,12.1,4.97,5.03,131,
75,17.2,5.1,4.91,125,
100,22.41,5.21,4.8,120.81,
125,27.71,5.31,4.71,118.81,
150,33.15,5.44,4.6,115.88,
175,38.74,5.59,4.48,113.42,
200,44.39,5.65,4.42,110.66,
225,50.16,5.77,4.33,110.29,
250,56.05,5.89,4.24,110.29,
275,61.95,5.9,4.23,108.65,
300,67.88,5.93,4.22,111.11,
325,73.96,6.08,4.11,109.69,
350,79.99,6.03,4.15,110.29,
375,86,6.01,4.16,111.3,
400,92.07,6.07,4.12,111.11,
425,98.22,6.15,4.07,110.09,
450,104.33,6.11,4.09,113.79,
475,110.57,6.24,4.01,111.32,
500,116.81,6.24,4.01,109.45,
Av,,5.84,4.31,114.54,
