Race,,Dist,500,Time,106.34
Split,Time,Secs,Vel,SR,
25,7.31,7.31,3.42,121.21,
50,11.96,4.64,5.38,136.36,
75,16.6,4.65,5.38,131.39,
100,21.42,4.81,5.19,125.58,
125,26.27,4.85,5.15,123.01,
150,31.19,4.92,5.08,120.81,
175,36.18,4.99,5.01,120.54,
200,41.18,5,5,118.68,
225,46.32,5.14,4.86,116.63,
250,51.56,5.24,4.77,115.88,
275,56.86,5.3,4.71,114.16,
300,62.16,5.3,4.72,113.92,
325,67.58,5.42,4.61,114.89,
350,72.98,5.4,4.63,113.85,
375,78.45,5.47,4.57,114.16,
400,84.05,5.59,4.47,113.42,
425,89.55,5.5,4.54,113.92,
450,95.12,5.57,4.49,113.21,
475,100.71,5.59,4.47,113.68,
500,106.34,5.63,4.44,115.83,
Av,,5.32,4.75,118.56,
