Race,,Dist,500,Time,105.63
Split,Time,Secs,Vel,SR,
25,6.56,6.56,3.81,131.76,
50,11.18,4.62,5.41,136.67,
75,15.78,4.6,5.43,131.71,
100,20.48,4.69,5.32,128.27,
125,25.25,4.77,5.25,125.29,
150,30.14,4.89,5.11,123.01,
175,34.89,4.75,5.26,121.21,
200,39.99,5.11,4.9,120.54,
225,45.17,5.18,4.83,118.81,
250,50.33,5.16,4.84,119.47,
275,55.56,5.22,4.79,117.65,
300,60.92,5.37,4.66,118.11,
325,66.41,5.48,4.56,116.63,
350,71.92,5.52,4.53,116.05,
375,77.45,5.53,4.52,117.65,
400,82.99,5.54,4.52,115.14,
425,88.71,5.72,4.37,116.05,
450,94.37,5.65,4.42,114.07,
475,99.95,5.59,4.48,114.29,
500,105.63,5.68,4.4,114.29,
Av,,5.28,4.77,120.83,
