Race,,Dist,500m,Time,01:53.4
Split,Time,Secs,Vel,SR,
25,7.17,7.17,3.49,135,
50,12.09,4.92,5.09,143,
75,16.98,4.89,5.12,137,
100,21.96,4.99,5.01,132,
125,27.05,5.09,4.91,130,
150,32.28,5.23,4.78,126,
175,37.62,5.33,4.69,124,
200,43.08,5.46,4.57,118,
225,48.68,5.60,4.46,117,
250,54.38,5.69,4.39,115,
275,01:00.0,5.63,4.44,116,
300,01:05.6,5.63,4.44,115,
325,01:11.3,5.68,4.4,116,
350,01:17.1,5.83,4.29,115,
375,01:23.1,5.96,4.19,114,
400,01:29.2,6.07,4.12,113,
425,01:35.2,6.06,4.13,111,
450,01:41.2,5.97,4.19,113,
475,01:47.3,6.09,4.11,116,
500,01:53.4,6.12,4.09,117,
Av,,5.67,4.45,121,
,,,,,
