Race,,Dist,500,Time,121.69
Split,Time,Secs,Vel,SR,
25,7.51,7.51,3.33,125.35,
50,12.88,5.37,4.65,128.21,
75,18.28,5.41,4.62,122.45,
100,23.76,5.48,4.56,116.73,
125,29.29,5.53,4.52,113.64,
150,34.89,5.61,4.46,109.98,
175,40.68,5.78,4.32,107.78,
200,46.65,5.97,4.19,105.26,
225,52.74,6.1,4.1,104.85,
250,58.8,6.05,4.13,106.38,
275,64.84,6.04,4.14,105.45,
300,70.99,6.15,4.07,105.45,
325,77.19,6.2,4.03,106.09,
350,83.48,6.29,3.97,105.26,
375,89.7,6.22,4.02,104.53,
400,95.99,6.29,3.98,103.45,
425,102.41,6.42,3.89,102.74,
450,108.93,6.51,3.84,101.87,
475,115.32,6.4,3.91,103.27,
500,121.69,6.36,3.93,102.74,
Av,,6.08,4.13,109.07,
