Race,,Dist,500,Time,117.65
Split,Time,Secs,Vel,SR,
25,6.93,6.93,3.61,122.27,
50,11.84,4.91,5.09,127.36,
75,16.85,5,5,124.74,
100,22.01,5.16,4.85,122.17,
125,27.34,5.33,4.69,118.42,
150,32.74,5.4,4.63,115.38,
175,38.25,5.51,4.54,111.34,
200,43.92,5.67,4.41,108,
225,49.7,5.79,4.32,109.29,
250,55.66,5.96,4.19,108.5,
275,61.71,6.04,4.14,105.26,
300,67.75,6.04,4.14,106.19,
325,73.86,6.11,4.09,104.9,
350,79.92,6.06,4.13,104.05,
375,86.06,6.14,4.07,103.63,
400,92.32,6.26,4,103.63,
425,98.56,6.24,4,103.27,
450,104.83,6.27,3.99,103.85,
475,111.22,6.39,3.91,101.87,
500,117.66,6.44,3.89,102.39,
Av,,5.88,4.28,110.33,
