Race,,Dist,500,Time,117.42
Split,Time,Secs,Vel,SR,
25,7.05,7.05,3.55,123.17,
50,11.87,4.82,5.19,132.74,
75,16.52,4.66,5.37,139.53,
100,21.55,5.02,4.98,125.79,
125,26.72,5.18,4.83,121.62,
150,31.95,5.23,4.78,120.97,
175,37.43,5.48,4.57,120,
200,42.79,5.37,4.66,112.5,
225,48.56,5.76,4.34,113.85,
250,54.47,5.91,4.23,112.36,
275,60.47,6,4.17,110.91,
300,66.48,6.01,4.16,113.21,
325,72.38,5.89,4.24,106.76,
350,78.83,6.45,3.87,112.44,
375,85.22,6.39,3.91,110.74,
400,91.6,6.39,3.91,110.7,
425,97.91,6.3,3.97,109.09,
450,104.18,6.28,3.98,104.53,
475,110.86,6.68,3.74,109.45,
500,117.41,6.55,3.82,108.73,
Av,,5.87,4.31,115.95,
