Race,,Dist,1000,Time,03:46.8
Split,Time,Secs,Vel,SR,
25,6.31,6.31,3.96,114.19,
50,11.03,4.71,5.3,115.38,
75,15.91,4.88,5.12,113.48,
100,20.94,5.04,4.96,110.43,
125,26.06,5.12,4.89,110.85,
150,31.25,5.19,4.82,109.98,
175,36.53,5.28,4.73,107.38,
200,41.83,5.3,4.72,106.93,
225,47.21,5.39,4.64,105.26,
250,52.65,5.44,4.6,106.93,
275,58.12,5.47,4.57,106.51,
300,01:03.6,5.5,4.54,105.49,
325,01:09.1,5.5,4.54,104.05,
350,01:14.7,5.61,4.46,103,
375,01:20.4,5.7,4.38,103.65,
400,01:26.2,5.72,4.37,104.05,
425,01:31.9,5.77,4.33,102.86,
450,01:37.7,5.81,4.3,102.08,
475,01:43.6,5.85,4.27,103.25,
500,01:49.4,5.77,4.33,103.25,
525,01:55.1,5.76,4.34,102.27,
550,02:01.0,5.9,4.24,104.05,
575,02:06.8,5.83,4.29,103.25,
600,02:12.7,5.88,4.25,102.86,
625,02:18.5,5.81,4.3,101.31,
650,02:24.3,5.79,4.32,101.12,
675,02:30.2,5.92,4.23,101.31,
700,02:36.2,5.93,4.21,102.27,
725,02:42.1,5.93,4.22,101.89,
750,02:48.1,5.97,4.19,103.25,
775,02:54.0,5.91,4.23,104.05,
800,02:59.8,5.83,4.29,103.81,
825,03:05.5,5.72,4.37,105.88,
850,03:11.2,5.72,4.37,105.68,
875,03:17.0,5.75,4.35,106.93,
900,03:22.7,5.69,4.39,106.72,
925,03:28.5,5.84,4.28,104.25,
950,03:34.5,6.02,4.16,104.9,
975,03:40.6,6.02,4.15,103.25,
1000,03:46.8,6.25,4.01,100.5,
Av,,5.67,4.43,105.21,
