Race,,Dist,500,Time,01:56.2
Split,Time,Secs,Vel,SR,
25,6.77,6.77,3.69,113.92,
50,11.71,4.93,5.07,119.73,
75,16.78,5.07,4.93,116.5,
100,21.85,5.08,4.93,118.16,
125,27,5.14,4.86,114.89,
150,32.27,5.28,4.74,114.16,
175,37.63,5.35,4.67,110.88,
200,43.09,5.46,4.57,109.98,
225,48.63,5.54,4.51,109.31,
250,54.13,5.5,4.54,105.68,
275,59.84,5.71,4.38,100.19,
300,01:05.6,5.77,4.33,98.97,
325,01:11.6,6.03,4.14,98.18,
350,01:17.9,6.23,4.01,98,
375,01:24.2,6.29,3.98,98.18,
400,01:30.4,6.21,4.02,97.88,
425,01:36.7,6.31,3.96,91.78,
450,01:43.0,6.29,3.97,90,
475,01:49.4,6.39,3.91,88.89,
500,01:56.2,6.82,3.67,84.11,
Av,,5.81,4.34,103.97,
