Race,,Dist,500,Time,01:56.8
Split,Time,Secs,Vel,SR,
25,6.81,6.81,3.67,113.92,
50,11.8,4.99,5.01,121.62,
75,16.92,5.12,4.89,118.34,
100,22.02,5.1,4.9,116.5,
125,27.38,5.37,4.66,116.5,
150,32.82,5.44,4.6,114.41,
175,38.39,5.57,4.49,112.78,
200,44.14,5.75,4.35,111.57,
225,49.81,5.67,4.41,112.57,
250,55.62,5.81,4.3,111.11,
275,01:01.6,5.99,4.17,110.5,
300,01:07.7,6.11,4.09,107.72,
325,01:13.9,6.16,4.06,106.76,
350,01:20.0,6.14,4.07,108.11,
375,01:26.0,5.99,4.17,107.91,
400,01:32.1,6.13,4.08,107.36,
425,01:38.3,6.16,4.06,109.45,
450,01:44.4,6.08,4.11,108.5,
475,01:50.5,6.13,4.08,106.19,
500,01:56.8,6.3,3.98,102.86,
Av,,5.84,4.31,111.23,
