Race,,Dist,500m,Time,01:45.5
Split,Time,Secs,Vel,SR,
25,6.25,6.25,4,126,
50,10.82,4.57,5.47,126,
75,15.43,4.61,5.42,123,
100,20.16,4.72,5.29,123,
125,25.06,4.90,5.1,121,
150,29.92,4.87,5.14,119,
175,34.90,4.98,5.02,117,
200,39.96,5.06,4.94,119,
225,45.01,5.05,4.95,120,
250,50.18,5.17,4.83,120,
275,55.29,5.11,4.89,120,
300,01:00.5,5.24,4.77,119,
325,01:05.9,5.39,4.64,117,
350,01:11.3,5.35,4.67,116,
375,01:16.8,5.53,4.52,114,
400,01:22.4,5.62,4.45,114,
425,01:28.0,5.62,4.45,113,
450,01:33.7,5.66,4.42,112,
475,01:39.5,5.80,4.31,110,
500,01:45.5,6.00,4.17,104,
Av,,5.27,4.77,118,
