Race,,Dist,1000m,Time,03:42.8
Split,Time,Secs,Vel,SR,
25,7.03,7.03,3.56,128.08,
50,11.39,4.36,5.74,142.86,
75,15.82,4.43,5.64,129.19,
100,20.49,4.66,5.36,122.14,
125,25.26,4.77,5.24,122.17,
150,30.12,4.86,5.14,120.27,
175,35.14,5.02,4.98,116.38,
200,40.25,5.11,4.9,115.94,
225,45.42,5.17,4.84,116.5,
250,50.63,5.21,4.8,112.94,
275,55.92,5.28,4.73,111.8,
300,01:01.3,5.36,4.67,113.45,
325,01:06.7,5.42,4.61,111.57,
350,01:12.2,5.51,4.54,112.73,
375,01:17.8,5.58,4.48,110.29,
400,01:23.4,5.6,4.46,106.93,
425,01:29.1,5.66,4.41,106.93,
450,01:34.9,5.84,4.28,106.51,
475,01:40.8,5.88,4.25,104.9,
500,01:46.6,5.83,4.28,103.85,
525,01:52.4,5.79,4.32,92.66,
550,01:58.2,5.77,4.34,105.06,
575,02:04.0,5.84,4.28,103.25,
600,02:10.0,5.97,4.19,102.27,
625,02:15.9,5.95,4.2,101.69,
650,02:22.0,6.03,4.14,101.31,
675,02:27.9,5.94,4.21,102.66,
700,02:33.9,5.96,4.19,101.89,
725,02:39.8,5.98,4.18,102.08,
750,02:45.6,5.81,4.3,104.45,
775,02:51.6,5.91,4.23,103.65,
800,02:57.3,5.74,4.36,104.9,
825,03:03.1,5.81,4.3,105.26,
850,03:09.0,5.89,4.25,104.05,
875,03:14.7,5.72,4.37,105.68,
900,03:20.5,5.8,4.31,106.57,
925,03:26.2,5.72,4.37,111.34,
950,03:31.8,5.56,4.5,111.57,
975,03:37.3,5.46,4.58,110.66,
1000,03:42.8,5.52,4.52,108.65,
Av,,5.57,4.53,110.13,
