Race,,Dist,500,Time,104.72
Split,Time,Secs,Vel,SR,
25,6.23,6.23,4.01,125.44,
50,10.72,4.48,5.58,132.68,
75,15.31,4.59,5.45,131.39,
100,20.03,4.73,5.29,128.21,
125,24.84,4.81,5.2,124.35,
150,29.69,4.85,5.16,123.97,
175,34.56,4.87,5.13,124.14,
200,39.59,5.03,4.97,122.17,
225,44.76,5.17,4.84,120.81,
250,49.83,5.07,4.93,123.2,
275,54.91,5.09,4.91,120.54,
300,60.09,5.17,4.83,122.17,
325,65.31,5.22,4.79,119.76,
350,70.68,5.37,4.66,117.65,
375,76.19,5.51,4.54,116.73,
400,81.76,5.57,4.49,115.83,
425,87.37,5.61,4.46,114.16,
450,93.03,5.67,4.41,114.07,
475,98.78,5.75,4.35,110.91,
500,104.71,5.93,4.22,106.51,
Av,,5.24,4.81,120.73,
