Race,,Dist,500m,Time,01:46.2
Split,Time,Secs,Vel,SR,
25,6.36,6.36,3.93,128.08,
50,10.78,4.42,5.66,132.35,
75,15.27,4.49,5.57,126.32,
100,19.92,4.65,5.38,124.14,
125,24.61,4.7,5.32,125,
150,29.37,4.75,5.26,121.21,
175,34.31,4.94,5.07,121.08,
200,39.23,4.93,5.07,118.68,
225,44.27,5.04,4.96,120.54,
250,49.38,5.11,4.9,117.14,
275,54.54,5.16,4.84,119.21,
300,59.82,5.28,4.73,117.65,
325,01:05.3,5.46,4.57,115.83,
350,01:10.8,5.49,4.55,116.28,
375,01:16.3,5.54,4.52,113.92,
400,01:22.0,5.66,4.42,111.73,
425,01:27.8,5.84,4.28,109.09,
450,01:33.9,6.04,4.14,104.71,
475,01:39.9,6.05,4.13,104.05,
500,01:46.2,6.25,4,99.26,
Av,,5.31,4.77,117.31,
