Race,,Dist,500,Time,106.99
Split,Time,Secs,Vel,SR,
25,6.32,6.32,3.96,134.72,
50,10.75,4.43,5.65,139.9,
75,15.35,4.6,5.43,127.36,
100,20.14,4.8,5.21,127.06,
125,25.05,4.9,5.1,126.32,
150,29.95,4.9,5.1,124.14,
175,34.89,4.95,5.05,123.29,
200,39.95,5.06,4.94,121.62,
225,45.19,5.23,4.78,120.48,
250,50.39,5.2,4.81,120.54,
275,55.7,5.31,4.71,120,
300,61.12,5.42,4.62,117.14,
325,66.58,5.46,4.58,120,
350,72,5.42,4.61,120.48,
375,77.54,5.55,4.51,117.42,
400,83.17,5.63,4.44,115.38,
425,88.88,5.71,4.38,113.64,
450,94.72,5.84,4.28,109.53,
475,100.74,6.03,4.15,107.72,
500,106.99,6.25,4,103.81,
Av,,5.35,4.72,120.53,
