Race,,Dist,500,Time,103.24
Split,Time,Secs,Vel,SR,
25,6.12,6.12,4.09,136.11,
50,10.59,4.47,5.59,127.32,
75,15.19,4.6,5.44,121.9,
100,19.83,4.64,5.39,123.71,
125,24.52,4.69,5.33,124.42,
150,29.28,4.76,5.25,123.85,
175,34.12,4.85,5.16,120.54,
200,39.06,4.94,5.06,117.65,
225,44.04,4.97,5.03,116.63,
250,49.07,5.04,4.97,115.63,
275,54.22,5.15,4.85,115.88,
300,59.44,5.22,4.79,116.63,
325,64.58,5.14,4.87,120.54,
350,69.8,5.22,4.79,118.42,
375,75.11,5.31,4.71,114.94,
400,80.59,5.49,4.55,113.92,
425,86.16,5.57,4.49,111.11,
450,91.72,5.56,4.5,111.11,
475,97.4,5.68,4.4,108.43,
500,103.24,5.84,4.28,105.68,
Av,,5.16,4.88,118.22,
