Race,,Dist,1000m,Time,04:23.5
Split,Time,Secs,Vel,SR,
25,8.08,8.08,3.09,84.63,
50,13.93,5.85,4.27,85.19,
75,19.92,5.98,4.18,83.19,
100,25.93,6.01,4.16,85.19,
125,32.1,6.17,4.05,85.26,
150,38.3,6.2,4.03,82.51,
175,44.53,6.23,4.01,84.06,
200,50.86,6.33,3.95,83.92,
225,57.28,6.42,3.89,78.07,
250,01:03.8,6.53,3.83,78.95,
275,01:10.2,6.42,3.9,80,
300,01:16.7,6.44,3.88,79.55,
325,01:23.3,6.59,3.79,79.87,
350,01:29.8,6.56,3.81,79.7,
375,01:36.4,6.54,3.82,81.08,
400,01:43.1,6.75,3.7,78.43,
425,01:50.0,6.9,3.62,77.92,
450,01:56.8,6.79,3.68,78.43,
475,02:03.5,6.72,3.72,79.08,
500,02:10.5,7,3.57,78.69,
525,02:17.3,6.76,3.7,78.82,
550,02:23.9,6.61,3.78,77.63,
575,02:30.6,6.71,3.73,78.82,
600,02:37.1,6.53,3.83,79.87,
625,02:43.8,6.69,3.74,79.21,
650,02:50.3,6.46,3.87,78.5,
675,02:56.7,6.46,3.87,80.13,
700,03:03.5,6.76,3.7,80,
725,03:10.7,7.23,3.46,77.42,
750,03:17.4,6.68,3.75,79.47,
775,03:24.0,6.61,3.78,79.47,
800,03:30.6,6.61,3.78,78.82,
825,03:37.2,6.54,3.83,80.92,
850,03:43.6,6.47,3.86,80.4,
875,03:50.1,6.5,3.85,80.4,
900,03:56.7,6.6,3.79,81.49,
925,04:03.4,6.62,3.77,81.22,
950,04:09.9,6.51,3.84,80.46,
975,04:16.5,6.59,3.79,79.6,
1000,04:23.5,7.07,3.54,77.92,
Av,,6.59,3.81,80.36,
