Race,,Dist,500m,Time,01:23.2
Split,Time,Secs,Vel,SR,
25,6.02,6.02,4.16,122,
50,9.77,3.75,6.66,142,
75,13.44,3.67,6.81,138,
100,17.15,3.71,6.74,134,
125,20.91,3.76,6.65,130,
150,24.76,3.85,6.5,128,
175,28.70,3.94,6.34,126,
200,32.75,4.05,6.18,124,
225,36.87,4.13,6.06,122,
250,41.06,4.18,5.98,121,
275,45.28,4.22,5.93,121,
300,49.46,4.19,5.97,123,
325,53.64,4.18,5.99,125,
350,57.81,4.17,6,126,
375,01:01.9,4.13,6.05,128,
400,01:06.1,4.14,6.04,129,
425,01:10.3,4.17,5.99,130,
450,01:14.5,4.22,5.93,129,
475,01:18.8,4.31,5.8,128,
500,01:23.2,4.38,5.7,126,
Av,,4.16,6.07,128,
,,,,,
