Race,,Dist,500,Time,99.42
Split,Time,Secs,Vel,SR,
25,6.33,6.33,3.95,127.66,
50,10.48,4.15,6.02,147.54,
75,14.59,4.11,6.09,143.62,
100,18.98,4.4,5.69,137.76,
125,23.51,4.53,5.52,133.66,
150,28,4.49,5.57,131.71,
175,32.85,4.85,5.16,127.96,
200,37.62,4.77,5.24,128.21,
225,42.57,4.94,5.06,126.17,
250,47.22,4.65,5.37,125.29,
275,52.06,4.84,5.17,125.87,
300,57.1,5.05,4.95,122.73,
325,62.2,5.1,4.9,123.46,
350,67.46,5.26,4.76,123.57,
375,72.57,5.11,4.89,122.45,
400,77.94,5.37,4.66,120.97,
425,83.34,5.4,4.63,121.7,
450,88.5,5.16,4.84,121.9,
475,93.69,5.19,4.82,120.27,
500,99.43,5.73,4.36,115.99,
Av,,4.97,5.08,127.42,
