Race,,Dist,1000,Time,225.31
Split,Time,Secs,Vel,SR,
25,6.46,6.46,3.87,128.5,
50,11.03,4.57,5.47,131.39,
75,15.74,4.71,5.31,124.42,
100,20.66,4.92,5.08,116.22,
125,25.76,5.1,4.9,111.34,
150,30.99,5.22,4.79,109.59,
175,36.25,5.26,4.75,111.57,
200,41.56,5.32,4.7,111.57,
225,46.91,5.35,4.68,112.27,
250,52.29,5.38,4.64,111.34,
275,57.76,5.47,4.57,108.87,
300,63.31,5.55,4.51,108.65,
325,68.95,5.64,4.43,104.85,
350,74.63,5.68,4.4,103.65,
375,80.27,5.64,4.44,103,
400,85.98,5.71,4.37,103.65,
425,91.71,5.73,4.37,101.89,
450,97.54,5.83,4.29,102.27,
475,103.31,5.77,4.33,101.89,
500,109.08,5.77,4.33,101.89,
525,114.76,5.68,4.4,99.38,
550,120.62,5.86,4.27,98,
575,126.47,5.85,4.28,98.36,
600,132.32,5.86,4.27,97.83,
625,138.25,5.93,4.22,98.77,
650,144.19,5.93,4.21,100.19,
675,150.04,5.85,4.27,96.95,
700,155.85,5.81,4.3,98.16,
725,161.81,5.96,4.19,96.95,
750,167.8,5.99,4.17,98.54,
775,173.73,5.93,4.21,99.45,
800,179.68,5.95,4.2,100.19,
825,185.66,5.98,4.18,99.17,
850,191.38,5.71,4.38,102.08,
875,196.96,5.59,4.48,104.85,
900,202.49,5.53,4.52,109.98,
925,208.04,5.55,4.5,109.31,
950,213.83,5.79,4.32,107.14,
975,219.59,5.76,4.34,106.3,
1000,225.3,5.71,4.39,109.98,
Av,,5.63,4.46,106.01,
