Race,,Dist,1000,Time,229.89
Split,Time,Secs,Vel,SR,
25,6.63,6.63,3.77,136.13,
50,11,4.37,5.72,142.48,
75,15.64,4.64,5.39,131.39,
100,20.39,4.74,5.27,124.42,
125,25.17,4.78,5.23,121.35,
150,30.18,5.01,4.99,116.88,
175,35.25,5.06,4.94,112.15,
200,40.43,5.18,4.83,110.66,
225,45.84,5.41,4.62,110.88,
250,51.19,5.35,4.67,109.09,
275,56.71,5.52,4.53,107.36,
300,62.53,5.82,4.29,104.45,
325,68.11,5.58,4.48,100.75,
350,74,5.89,4.24,99.17,
375,79.94,5.94,4.21,99.26,
400,85.89,5.94,4.21,98.54,
425,91.91,6.02,4.15,97.65,
450,97.96,6.05,4.13,98.18,
475,103.92,5.97,4.19,99.63,
500,109.96,6.04,4.14,99.08,
525,115.84,5.88,4.25,99.08,
550,121.94,6.1,4.1,98.36,
575,128.03,6.09,4.11,99.26,
600,133.97,5.94,4.21,99.82,
625,139.51,5.55,4.51,100.42,
650,145.26,5.75,4.35,101.12,
675,151.08,5.81,4.3,101.05,
700,157.04,5.96,4.19,99.63,
725,163.38,6.34,3.94,99.5,
750,169.35,5.97,4.19,103.05,
775,174.93,5.58,4.48,101.89,
800,180.76,5.83,4.29,101.69,
825,186.43,5.68,4.4,101.5,
850,192.06,5.62,4.45,101.31,
875,198.3,6.24,4.01,100.93,
900,204.55,6.26,3.99,100.67,
925,210.7,6.14,4.07,102.08,
950,216.98,6.28,3.98,100.19,
975,223.14,6.16,4.06,98.36,
1000,229.88,6.74,3.71,97.47,
Av,,5.75,4.39,105.67,
