Race,,Dist,500,Time,103.09
Split,Time,Secs,Vel,SR,
25,6.44,6.44,3.88,127.45,
50,10.78,4.33,5.77,142.48,
75,15.24,4.46,5.61,130.43,
100,19.82,4.59,5.45,124.71,
125,24.73,4.91,5.09,119.7,
150,29.78,5.05,4.95,120.72,
175,34.66,4.88,5.12,118.52,
200,39.51,4.85,5.15,116.63,
225,44.55,5.04,4.96,117.94,
250,49.67,5.12,4.88,117.88,
275,54.66,4.99,5.01,116.22,
300,59.75,5.09,4.92,116.63,
325,64.93,5.18,4.82,115.88,
350,70.31,5.38,4.64,116.5,
375,75.5,5.19,4.82,116.13,
400,80.78,5.28,4.74,116.13,
425,86.19,5.41,4.62,112.97,
450,91.64,5.45,4.58,111.57,
475,97.29,5.65,4.43,108.22,
500,103.08,5.8,4.32,105.08,
Av,,5.15,4.89,118.59,
