Race,,Dist,500,Time,103.12
Split,Time,Secs,Vel,SR,
25,6.52,6.52,3.83,131.46,
50,10.96,4.44,5.63,139.53,
75,15.38,4.42,5.66,130.08,
100,19.93,4.55,5.49,125.87,
125,24.58,4.65,5.37,121.9,
150,29.47,4.88,5.12,121.21,
175,34.38,4.91,5.09,117.14,
200,39.31,4.93,5.07,115.38,
225,44.29,4.98,5.02,113.45,
250,49.5,5.2,4.8,113.21,
275,54.69,5.19,4.82,114.65,
300,59.87,5.19,4.82,112.94,
325,64.93,5.06,4.95,114.65,
350,70.3,5.38,4.65,116.5,
375,75.58,5.28,4.73,115.88,
400,80.9,5.32,4.7,114.16,
425,86.25,5.36,4.67,112.73,
450,91.56,5.31,4.71,111.57,
475,97.18,5.62,4.45,110.66,
500,103.13,5.94,4.21,107.33,
Av,,5.16,4.89,118.02,
