Race,,Dist,1000,Time,227.88
Split,Time,Secs,Vel,SR,
25,6.66,6.66,3.75,130.23,
50,11.04,4.38,5.71,144.39,
75,15.58,4.54,5.5,132.03,
100,20.34,4.75,5.26,125,
125,25.23,4.89,5.11,121.9,
150,30.24,5.02,4.98,118.16,
175,35.23,4.99,5.01,114.89,
200,40.56,5.32,4.7,112.73,
225,45.87,5.31,4.71,110.6,
250,51.29,5.42,4.61,107.14,
275,56.88,5.59,4.48,106.93,
300,62.51,5.63,4.44,106.09,
325,68.1,5.59,4.47,103.23,
350,73.87,5.77,4.33,102.08,
375,79.4,5.53,4.52,100.93,
400,84.97,5.57,4.49,102.56,
425,90.75,5.78,4.33,102.08,
450,96.37,5.62,4.45,100.63,
475,102.21,5.84,4.28,100.56,
500,107.99,5.78,4.32,100.75,
525,113.79,5.8,4.31,99.26,
550,119.62,5.83,4.29,100.42,
575,125.38,5.76,4.34,100,
600,131.45,6.08,4.11,101.69,
625,137.33,5.87,4.26,101.69,
650,143.07,5.75,4.35,102.08,
675,148.9,5.83,4.29,100.19,
700,155.01,6.11,4.09,101.12,
725,160.87,5.86,4.26,99.63,
750,166.2,5.33,4.69,101.69,
775,171.87,5.67,4.41,101.05,
800,177.86,5.99,4.17,101.89,
825,183.82,5.96,4.19,101.01,
850,189.62,5.8,4.31,101.48,
875,195.78,6.16,4.06,101.69,
900,202.15,6.37,3.92,98.18,
925,208.29,6.15,4.07,94.74,
950,214.66,6.36,3.93,92.94,
975,220.95,6.29,3.97,93.59,
1000,227.87,6.92,3.61,88.24,
Av,,5.7,4.43,105.64,
