Race,,Dist,500,Time,105.99
Split,Time,Secs,Vel,SR,
25,6.39,6.39,3.91,132.2,
50,10.78,4.39,5.69,145.63,
75,15.27,4.48,5.58,139.18,
100,19.81,4.54,5.5,133.66,
125,24.49,4.68,5.34,132.45,
150,29.2,4.71,5.31,130.43,
175,34.25,5.05,4.95,124.71,
200,39.32,5.07,4.93,122.95,
225,44.62,5.3,4.72,119.73,
250,49.78,5.16,4.84,118.94,
275,55.08,5.3,4.72,119.52,
300,60.79,5.71,4.38,118.11,
325,66.14,5.35,4.67,117.19,
350,71.55,5.41,4.62,117.9,
375,76.82,5.26,4.75,116.88,
400,82.37,5.55,4.5,115.38,
425,88.31,5.95,4.2,113.42,
450,93.86,5.55,4.51,111.32,
475,99.68,5.82,4.29,109.53,
500,105.98,6.3,3.98,107.53,
Av,,5.3,4.77,122.33,
