Race,,Dist,1000,Time,213.45
Split,Time,Secs,Vel,SR,
25,7.53,7.53,3.32,136.36,
50,12.03,4.5,5.56,135.68,
75,16.64,4.61,5.42,124.42,
100,21.24,4.6,5.44,118.52,
125,25.96,4.72,5.29,116.5,
150,30.81,4.85,5.16,116.22,
175,35.73,4.92,5.08,113.21,
200,40.58,4.86,5.15,113.48,
225,45.68,5.1,4.91,112.97,
250,50.66,4.98,5.02,110.85,
275,55.64,4.98,5.02,110.09,
300,60.78,5.13,4.87,110.85,
325,65.86,5.08,4.92,110.88,
350,71.05,5.19,4.82,110.34,
375,76.4,5.35,4.67,108,
400,81.69,5.29,4.73,105.73,
425,87.1,5.41,4.62,104.45,
450,92.42,5.32,4.7,103.45,
475,97.9,5.48,4.56,103.45,
500,103.28,5.38,4.65,102.08,
525,108.8,5.52,4.53,103.45,
550,114.14,5.35,4.68,103.9,
575,119.62,5.48,4.57,103.45,
600,125.07,5.45,4.58,104.35,
625,130.58,5.51,4.54,104.25,
650,136.19,5.61,4.45,103.25,
675,141.74,5.54,4.51,102.35,
700,147.58,5.85,4.28,101.5,
725,153.3,5.71,4.38,101.12,
750,158.94,5.64,4.43,100.63,
775,164.5,5.56,4.5,102.47,
800,170.06,5.56,4.5,102.35,
825,175.55,5.5,4.55,103.9,
850,181.03,5.48,4.56,104.05,
875,186.38,5.35,4.68,105.03,
900,191.63,5.25,4.76,106.09,
925,197.01,5.38,4.65,108.11,
950,202.42,5.41,4.62,107.78,
975,207.79,5.37,4.65,107.57,
1000,213.45,5.66,4.42,106.01,
Av,,5.34,4.72,108.73,
