Race,,Dist,500,Time,113.84
Split,Time,Secs,Vel,SR,
25,7.53,7.53,3.32,125.19,
50,12.49,4.95,5.05,136.67,
75,17.42,4.94,5.06,135.14,
100,22.48,5.06,4.94,132.26,
125,27.62,5.14,4.87,128.27,
150,32.95,5.33,4.69,125.24,
175,38.36,5.42,4.62,122.95,
200,43.92,5.56,4.5,119.28,
225,49.6,5.68,4.4,117.19,
250,55.23,5.63,4.44,116.73,
275,61.05,5.82,4.3,115.16,
300,66.99,5.93,4.21,115.83,
325,72.84,5.85,4.27,118.07,
350,78.63,5.79,4.32,117.65,
375,84.38,5.75,4.35,116.96,
400,90.19,5.81,4.3,117.44,
425,96.06,5.87,4.26,116.5,
450,101.95,5.89,4.24,116.2,
475,107.89,5.94,4.21,114.72,
500,113.84,5.95,4.2,113.42,
Av,,5.69,4.43,121.04,
