Race,,Dist,500,Time,114.74
Split,Time,Secs,Vel,SR,
25,7.29,7.29,3.43,123.71,
50,12.29,4.99,5.01,136.05,
75,17.28,5,5,133.04,
100,22.37,5.09,4.91,128.21,
125,27.58,5.21,4.8,125,
150,32.95,5.37,4.66,122.7,
175,38.48,5.53,4.52,120,
200,44.04,5.56,4.5,118.34,
225,49.67,5.63,4.44,118.34,
250,55.41,5.74,4.36,116.73,
275,61.31,5.9,4.23,114.58,
300,67.23,5.92,4.22,114.29,
325,73.23,6,4.17,115.38,
350,79.13,5.9,4.24,115.61,
375,84.96,5.82,4.29,114.72,
400,90.87,5.91,4.23,114.5,
425,96.77,5.9,4.24,113.85,
450,102.73,5.97,4.19,113.4,
475,108.72,5.99,4.17,112.99,
500,114.73,6.01,4.16,112.36,
Av,,5.74,4.39,119.19,
