Race,,Dist,500m,Time,01:40.0
Split,Time,Secs,Vel,SR,
25,6.59,6.59,3.79,129,
50,10.99,4.40,5.69,131,
75,15.41,4.42,5.65,120,
100,20.04,4.63,5.4,116,
125,24.61,4.57,5.47,117,
150,29.30,4.69,5.33,115,
175,34.07,4.77,5.24,114,
200,38.92,4.84,5.16,114,
225,43.79,4.87,5.13,112,
250,48.77,4.98,5.02,109,
275,53.82,5.05,4.95,109,
300,58.96,5.14,4.87,109,
325,01:03.9,4.94,5.06,114,
350,01:08.9,4.98,5.02,113,
375,01:13.9,5.03,4.97,113,
400,01:18.9,5.02,4.98,111,
425,01:24.1,5.22,4.79,109,
450,01:29.4,5.22,4.79,109,
475,01:34.6,5.25,4.76,109,
500,01:40.0,5.40,4.63,104,
Av,,5.00,5.03,114,
