Race,,Dist,500,Time,01:23.2
Split,Time,Secs,Vel,SR,
25,6.02,6.02,4.16,121.1,
50,9.77,3.75,6.66,141.59,
75,13.44,3.67,6.81,138.16,
100,17.15,3.71,6.74,133.7,
125,20.91,3.76,6.65,130.43,
150,24.76,3.85,6.5,127.66,
175,28.7,3.94,6.34,125.75,
200,32.75,4.05,6.18,123.71,
225,36.87,4.13,6.06,122.45,
250,41.06,4.18,5.98,121.04,
275,45.28,4.22,5.93,121.21,
300,49.46,4.19,5.97,122.76,
325,53.64,4.18,5.99,124.63,
350,57.81,4.17,6,126.32,
375,01:01.9,4.13,6.05,128.34,
400,01:06.1,4.14,6.04,129.03,
425,01:10.3,4.17,5.99,130.08,
450,01:14.5,4.22,5.93,128.69,
475,01:18.8,4.31,5.8,127.66,
500,01:23.2,4.38,5.7,126.32,
Av,,4.16,6.07,127.53,
