Race,,Dist,500,Time,138.73
Split,Time,Secs,Vel,SR,
25,8.83,8.83,2.83,98.13,
50,15.26,6.43,3.89,98.36,
75,21.38,6.13,4.08,97.65,
100,28.17,6.79,3.68,97.56,
125,34.69,6.52,3.83,99.17,
150,41.5,6.81,3.67,97.88,
175,48.3,6.8,3.68,98.04,
200,55.14,6.84,3.66,97.24,
225,62.12,6.99,3.58,99.4,
250,68.91,6.78,3.69,99.34,
275,75.92,7.02,3.56,96.46,
300,83.11,7.18,3.48,97.78,
325,89.99,6.89,3.63,98.85,
350,96.73,6.74,3.71,97.4,
375,103.49,6.76,3.7,95.69,
400,110.55,7.06,3.54,95.85,
425,117.62,7.07,3.54,94.49,
450,124.71,7.09,3.52,96.07,
475,131.53,6.81,3.67,98.2,
500,138.72,7.2,3.48,97.24,
Av,,6.94,3.62,97.54,
