Race,,Dist,500,Time,01:38.6
Split,Time,Secs,Vel,SR,
25,6.44,6.44,3.88,127.87,
50,10.87,4.43,5.64,143.2,
75,15.19,4.32,5.79,138.82,
100,19.57,4.38,5.71,134.45,
125,24.1,4.53,5.52,130.43,
150,28.73,4.63,5.4,127.96,
175,33.44,4.71,5.31,125.29,
200,38.36,4.92,5.08,119.47,
225,43.26,4.9,5.1,120,
250,48.23,4.97,5.03,118.81,
275,53.22,4.99,5.01,117.14,
300,58.26,5.04,4.96,118.16,
325,01:03.2,4.96,5.04,122.17,
350,01:08.2,4.99,5.01,120.81,
375,01:13.3,5.05,4.95,121.7,
400,01:18.2,4.96,5.04,122.45,
425,01:23.2,4.97,5.03,122.17,
450,01:28.2,5.05,4.95,121.62,
475,01:33.4,5.14,4.87,119.21,
500,01:38.6,5.21,4.8,118.16,
Av,,4.93,5.11,124.49,
