Race,,Dist,1000,Time,03:12.0
Split,Time,Secs,Vel,SR,
25,6.43,6.43,3.89,134.83,
50,10.44,4.02,6.23,156.52,
75,14.37,3.93,6.36,152.11,
100,18.38,4.01,6.23,144.39,
125,22.55,4.17,6,129.73,
150,26.89,4.34,5.76,124.68,
175,31.39,4.5,5.56,118.52,
200,35.97,4.59,5.45,117.94,
225,40.63,4.66,5.37,118.81,
250,45.32,4.68,5.34,116.79,
275,50.01,4.69,5.33,119.11,
300,54.79,4.79,5.22,115.63,
325,59.64,4.85,5.16,114.83,
350,01:04.5,4.85,5.16,112.94,
375,01:09.4,4.87,5.13,113.74,
400,01:14.2,4.88,5.13,112.68,
425,01:19.1,4.9,5.1,113.45,
450,01:24.0,4.9,5.1,113.48,
475,01:29.0,4.92,5.08,112.15,
500,01:34.0,4.99,5.01,113.92,
525,01:38.8,4.8,5.2,117.36,
550,01:43.6,4.85,5.16,115.94,
575,01:48.5,4.88,5.12,113.68,
600,01:53.4,4.88,5.12,113.74,
625,01:58.3,4.9,5.1,113.21,
650,02:03.3,4.97,5.03,113.68,
675,02:08.2,4.93,5.07,113.48,
700,02:13.1,4.94,5.06,114.29,
725,02:18.1,5,5,112.73,
750,02:23.1,4.99,5.01,114.56,
775,02:28.1,5,5,114.89,
800,02:33.1,4.94,5.06,117.65,
825,02:37.8,4.76,5.25,122.45,
850,02:42.6,4.75,5.26,121.62,
875,02:47.4,4.82,5.18,123.01,
900,02:52.2,4.84,5.16,120,
925,02:57.2,4.94,5.06,120.81,
950,03:02.1,4.96,5.04,120.27,
975,03:07.1,4.97,5.03,118.68,
1000,03:12.0,4.94,5.07,119.73,
Av,,4.8,5.24,119.95,
